상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,1분기매출,2분기매출,3분기매출,4분기매출,분기별매출평균,점포수
1000009,삼청로5길,CS100003,일식음식점,54436826,79233347,49476451,28775273,52980474.25,1
1000009,삼청로5길,CS100005,제과점,7852454.5,8911966,9066258,6146873.667,7994388.042,3.25
1000009,삼청로5길,CS100006,패스트푸드점,20470491.5,7291998,10563166,83105587,30357810.63,3.25
1000009,삼청로5길,CS100008,분식전문점,19231925.85,14309950.54,20472734.77,23691913.17,19426631.08,12.75
1000009,삼청로5길,CS100009,호프-간이주점,27075727,21566067,,,24320897,1
1000009,삼청로5길,CS100010,커피-음료,17641603.13,18237895.92,26638735.33,32453306.83,23742885.31,13
1000009,삼청로5길,CS300001,슈퍼마켓,6318255,5531647.083,9828650.769,29704934.45,12845871.83,12
1000009,삼청로5길,CS300011,일반의류,56643253.72,58547521.83,43968163.44,156398729.2,78889417.04,17.75
1000009,삼청로5길,CS300022,화장품,83028578.67,58561923,260232723,103302112,126281334.2,2
1000010,성균관로5길,CS100001,한식음식점,35870891.68,23840225.67,28727668.33,26421578.8,28715091.12,24.5
1000010,성균관로5길,CS100002,중식음식점,23764209,39449461.33,22417162.75,25302163.75,27733249.21,3.5
1000010,성균관로5길,CS100006,패스트푸드점,37360657.2,29397000,25843965.83,40390742.8,33248091.46,5.5
1000010,성균관로5길,CS100007,치킨전문점,12493230.25,16556959.67,12392058.67,13485093.33,13731835.48,3.25
1000010,성균관로5길,CS100008,분식전문점,13486911.75,14830462.83,12272679.15,18564917.31,14788742.76,12.5
1000010,성균관로5길,CS100009,호프-간이주점,11470144.35,13367632.75,13601651.4,17654103.13,14023382.91,15.75
1000010,성균관로5길,CS100010,커피-음료,7868574.857,9959956.357,11308037.69,10501326.31,9909473.804,13.5
1000010,성균관로5길,CS200003,예술학원,41208569.5,38000717.5,35533138.5,31667264.5,36602422.5,2
1000010,성균관로5길,CS200016,당구장,24015055.67,14675361.67,14921697,12687270.67,16574846.25,3
1000010,성균관로5길,CS200028,미용실,43632624.75,43389529.75,35520065.25,38687796,40307503.94,4
1000010,성균관로5길,CS200037,노래방,31972039,50420990,41093745,45558916,42261422.5,1
1000010,성균관로5길,CS300002,편의점,59625491.63,62052432.63,47357548.56,55707259.14,56185682.99,8
1000010,성균관로5길,CS300010,반찬가게,,,,299895267,299895267,1
1000010,성균관로5길,CS300011,일반의류,971376.4286,1898264.714,1489674,964509.4286,1330956.143,7
1000011,숭인동길,CS100001,한식음식점,22487378.05,23770298.37,25538197.58,54937484.38,31683339.59,19.75
1000011,숭인동길,CS100003,일식음식점,158951062.5,167972275,111191785.5,,146038374.3,2
1000011,숭인동길,CS100005,제과점,200940389.5,199393587,187579832,233013008.5,205231704.3,2
1000011,숭인동길,CS100006,패스트푸드점,3736268,3649340,4353530,3660505,3849910.75,1
1000011,숭인동길,CS100007,치킨전문점,33870689,32654683.25,32771046.25,24143522.5,30859985.25,4
1000011,숭인동길,CS100008,분식전문점,49526858.6,49015714,49838205.8,47800835.6,49045403.5,5
1000011,숭인동길,CS100009,호프-간이주점,7444479.111,7174454.375,7269737.25,14352505.5,9060294.059,8.25
1000011,숭인동길,CS100010,커피-음료,23507455,24047824.33,17020649.25,13288769.25,19466174.46,3.5
1000011,숭인동길,CS200016,당구장,1480370.5,3745102.5,2520326.5,951602,2174350.375,2
1000011,숭인동길,CS200028,미용실,11207947.14,11321261.29,10900585.57,9567067.429,10749215.36,7
1000011,숭인동길,CS200037,노래방,4900865,4825520,10425041.5,10082563,7558497.375,2
1000011,숭인동길,CS300001,슈퍼마켓,118386087.3,114999454.3,123138822.2,14703696.67,92807015.13,6
1000011,숭인동길,CS300002,편의점,130414683,151114816,141432019,219519577.3,160620273.8,4.75
1000011,숭인동길,CS300007,육류판매,31162823,29502840,20825240,28520690.33,27502898.33,3
1000011,숭인동길,CS300011,일반의류,17117721.75,9513564.25,26365435.5,62931843.33,28982141.21,3.75
1000011,숭인동길,CS300022,화장품,2287163.333,888817,1838188,,1671389.444,3
1000012,옥인길,CS100001,한식음식점,28064947.5,30182156.57,34935196.71,45808240,34747635.2,6.75
1000012,옥인길,CS100003,일식음식점,15090473,29693739,21625135,,22136449,1
1000012,옥인길,CS100005,제과점,9399539.4,9295627.2,7776812.2,98786293.8,31314568.15,5
1000012,옥인길,CS100006,패스트푸드점,39659235,41527567,34937712,34356940,37620363.5,1
1000012,옥인길,CS100008,분식전문점,69919448,70820946,111550261.3,,84096885.08,3.666666667
1000012,옥인길,CS100009,호프-간이주점,32765297,33631165.67,33603063.33,72195797.67,43048830.92,3
1000012,옥인길,CS100010,커피-음료,6874577.545,6354583.091,5452791.727,7249015.8,6482742.041,10.75
1000012,옥인길,CS200003,예술학원,62300320,119201278,147859424,,109787007.3,1
1000012,옥인길,CS200028,미용실,8672884,7596843,10631277,6111909,8253228.25,1
